ts_utc,symbol,event,side,qty,price,reason,pnl,profile,dry_run,spread_pct,mom_pct,mom_range_pct,up_ratio,rsi,ema1_ok,ema5_ok,vol_ok
1772259309,0GUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.30864197530864224,0.0,0.0,0.0,72.58064516129032,1,1,1
1772259319,0GUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.31201248049922026,-1.080246913580248,1.0920436817472707,22.22222222222222,66.1764705882353,1,1,1
2026-02-28 06:15:23,0GUSDC,BUY_FILLED,BUY,14.18,0.647,MOM,,major,0,0.15479876160990727,-0.30864197530864224,1.0920436817472707,30.0,66.1764705882353,1,1,1
2026-02-28 06:15:28,0GUSDC,SELL_FILLED,SELL,14.16,0.641,STOP,-0.08496000000000008,major,0,,,,,,,,
1772259358,0GUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.3125000000000003,0.0,0.46875000000000044,15.384615384615385,66.1764705882353,1,1,1
2026-02-28 06:16:04,0GUSDC,BUY_FILLED,BUY,14.12,0.642,MOM,,major,0,0.15600624024961013,0.0,0.6259780907668236,17.142857142857142,66.1764705882353,1,1,0
2026-02-28 06:16:59,0GUSDC,SELL_FILLED,SELL,14.11,0.651,TP,0.1269900000000001,major,0,,,,,,,,
1772259429,0GUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.30959752321981454,0.4665629860031108,1.3996889580093324,32.142857142857146,67.94871794871794,1,1,1
2026-02-28 06:17:14,0GUSDC,BUY_FILLED,BUY,14.14,0.6489999999999999,MOM,,major,0,0.30911901081916565,0.31007751937984523,1.0852713178294582,28.57142857142857,67.0886075949367,1,1,1
2026-02-28 06:17:44,0GUSDC,SELL_FILLED,SELL,14.12,0.643,STOP,-0.0847199999999985,major,0,,,,,,,,
1772259494,0GUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.31201248049922026,0.47021943573667746,0.6269592476489034,20.51282051282051,62.35294117647059,1,1,1
2026-02-28 06:18:24,0GUSDC,BUY_FILLED,BUY,14.13,0.642,MOM,,major,0,0.15600624024961013,0.0,0.3125000000000003,16.666666666666664,62.35294117647059,1,1,1
2026-02-28 06:18:43,0GUSDC,SELL_FILLED,SELL,14.12,0.638,STOP,-0.056480000000000044,major,0,,,,,,,,
2026-02-28 06:19:15,0GUSDC,BUY_FILLED,BUY,13.99,0.6419999999999999,MOM,,major,0,0.15576323987538954,0.15600624024961013,0.6240249609984405,25.64102564102564,63.095238095238095,1,1,1
2026-02-28 06:19:30,0GUSDC,SELL_FILLED,SELL,13.98,0.635,STOP,-0.09785999999999853,major,0,,,,,,,,
1772259600,0GUSDC,DECIDE_HOLD,,,,HOLD_MOM,,major,0,0.15898251192368854,-0.4746835443037979,1.1146496815286633,23.076923076923077,55.208333333333336,1,1,0
2026-02-28 06:20:03,0GUSDC,BUY_FILLED,BUY,14.08,0.631,MOM,,major,0,0.15873015873015886,-0.31645569620253194,1.1146496815286633,25.0,55.670103092783506,1,1,1
2026-02-28 06:25:17,0GUSDC,SELL_FILLED,SELL,14.06,0.623,STOP,-0.11248000000000011,major,0,,,,,,,,
1772259947,0GUSDC,DECIDE_HOLD,,,,HOLD_MOM,,major,0,0.1602564102564104,0.1605136436597112,0.3210272873194224,7.894736842105263,51.93798449612403,1,1,1
1772259957,0GUSDC,DECIDE_HOLD,,,,HOLD_RANGE_SPREAD,,major,0,0.1602564102564104,0.0,0.1602564102564104,7.4074074074074066,51.93798449612403,1,1,1
2026-02-28 06:26:07,0GUSDC,BUY_FILLED,BUY,13.96,0.6269999999999999,MOM,,major,0,0.15974440894568703,0.3205128205128208,0.3205128205128208,11.76470588235294,28.735632183908052,0,1,0
2026-02-28 06:27:47,0GUSDC,SELL_FILLED,SELL,13.95,0.622,STOP,-0.06974999999999851,major,0,,,,,,,,
1772260097,0GUSDC,DECIDE_HOLD,,,,HOLD_MOM,,major,0,0.16077170418006445,0.16103059581320467,0.32258064516129065,5.128205128205128,31.25,0,1,1
1772260107,0GUSDC,DECIDE_HOLD,,,,HOLD_RANGE_SPREAD,,major,0,0.16103059581320467,-0.16077170418006445,0.16103059581320467,0.0,31.25,0,1,1
1772260121,0GUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.32206119162640934,0.0,0.0,0.0,31.25,0,1,1
1772260131,0GUSDC,DECIDE_HOLD,,,,HOLD_RANGE_SPREAD,,major,0,0.16077170418006445,0.16103059581320467,0.16103059581320467,22.22222222222222,31.25,0,1,1
1772260142,0GUSDC,DECIDE_HOLD,,,,HOLD_RANGE_SPREAD,,major,0,0.16103059581320467,-0.16077170418006445,0.16103059581320467,5.88235294117647,35.21126760563381,0,1,0
2026-02-28 06:29:11,0GUSDC,BUY_FILLED,BUY,13.94,0.6220000000000001,MOM,,major,0,0.16103059581320467,-0.16077170418006445,0.32258064516129065,12.5,34.72222222222223,0,1,1
2026-02-28 06:31:27,0GUSDC,SELL_FILLED,SELL,13.93,0.6170000000000001,STOP,-0.06965000000000006,major,0,,,,,,,,
