[2026-05-11 22:57:23Z] SESSION_START symbol=BNBUSDC dry_run=0 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-11 22:57:23Z] TOXIC_MEMORY_LOADED count=5 symbols=GUNUSDC,JTOUSDC,ORDIUSDC,SAHARAUSDC,TONUSDC
[2026-05-11 22:57:25Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.00149331% BID:669.65 ASK:669.66 MID:669.655 P1:669.655 P2:NA P3:NA P4:NA STATE:IDLE
[2026-05-11 22:57:25Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.00149345% BID:669.59 ASK:669.6 MID:669.595 P1:669.595 P2:669.655 P3:NA P4:NA STATE:IDLE
[2026-05-11 22:57:26Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.00149345% BID:669.59 ASK:669.6 MID:669.595 P1:669.595 P2:669.595 P3:669.655 P4:NA STATE:IDLE
[2026-05-11 22:57:26Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.00149345% BID:669.59 ASK:669.6 MID:669.595 P1:669.595 P2:669.595 P3:669.655 P4:NA STATE:IDLE
[2026-05-11 22:57:27Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.00149345% BID:669.59 ASK:669.6 MID:669.595 P1:669.595 P2:669.595 P3:669.595 P4:669.655 STATE:IDLE
[2026-05-11 22:57:27Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.00149345% BID:669.59 ASK:669.6 MID:669.595 P1:669.595 P2:669.595 P3:669.595 P4:669.655 STATE:IDLE
[2026-05-11 22:57:28Z] CHK MOM:-0.01% RANGE:0.01% UP:0% SPREAD:0.00149356% BID:669.54 ASK:669.55 MID:669.545 P1:669.545 P2:669.595 P3:669.595 P4:669.595 STATE:IDLE
[2026-05-11 22:57:28Z] CHK MOM:-0.01% RANGE:0.01% UP:0% SPREAD:0.00149356% BID:669.54 ASK:669.55 MID:669.545 P1:669.545 P2:669.545 P3:669.595 P4:669.595 STATE:IDLE
[2026-05-11 22:57:29Z] CHK MOM:-0.01% RANGE:0.01% UP:0% SPREAD:0.00149356% BID:669.54 ASK:669.55 MID:669.545 P1:669.545 P2:669.545 P3:669.595 P4:669.595 STATE:IDLE
[2026-05-11 22:57:30Z] CHK MOM:-0.01% RANGE:0.01% UP:0% SPREAD:0.00149356% BID:669.54 ASK:669.55 MID:669.545 P1:669.545 P2:669.545 P3:669.545 P4:669.595 STATE:IDLE
[2026-05-11 22:57:30Z] CHK MOM:-0.01% RANGE:0.01% UP:0% SPREAD:0.00149356% BID:669.54 ASK:669.55 MID:669.545 P1:669.545 P2:669.545 P3:669.545 P4:669.595 STATE:IDLE
[2026-05-11 22:57:31Z] CHK MOM:-0.01% RANGE:0.01% UP:0% SPREAD:0.00149356% BID:669.54 ASK:669.55 MID:669.545 P1:669.545 P2:669.545 P3:669.545 P4:669.545 STATE:IDLE
[2026-05-11 22:57:31Z] CHK MOM:-0.01% RANGE:0.01% UP:0% SPREAD:0.00149356% BID:669.54 ASK:669.55 MID:669.545 P1:669.545 P2:669.545 P3:669.545 P4:669.545 STATE:IDLE
[2026-05-11 22:57:32Z] CHK MOM:-0.01% RANGE:0.01% UP:0% SPREAD:0.00149356% BID:669.54 ASK:669.55 MID:669.545 P1:669.545 P2:669.545 P3:669.545 P4:669.545 STATE:IDLE
[2026-05-11 22:57:32Z] CHK MOM:-0.01% RANGE:0.01% UP:0% SPREAD:0.00149356% BID:669.54 ASK:669.55 MID:669.545 P1:669.545 P2:669.545 P3:669.545 P4:669.545 STATE:IDLE
[2026-05-11 22:57:33Z] CHK MOM:0.01% RANGE:0.03% UP:12.5% SPREAD:0.00149304% BID:669.77 ASK:669.78 MID:669.775 P1:669.775 P2:669.545 P3:669.545 P4:669.545 STATE:IDLE
[2026-05-11 22:57:33Z] CHK MOM:0.01% RANGE:0.03% UP:11.11% SPREAD:0.00149304% BID:669.77 ASK:669.78 MID:669.775 P1:669.775 P2:669.775 P3:669.545 P4:669.545 STATE:IDLE
[2026-05-11 22:57:34Z] CHK MOM:0.01% RANGE:0.03% UP:11.11% SPREAD:0.00149304% BID:669.77 ASK:669.78 MID:669.775 P1:669.775 P2:669.775 P3:669.545 P4:669.545 STATE:IDLE
[2026-05-11 22:57:34Z] CHK MOM:0.01% RANGE:0.03% UP:11.11% SPREAD:0.00149304% BID:669.77 ASK:669.78 MID:669.775 P1:669.775 P2:669.775 P3:669.545 P4:669.545 STATE:IDLE
[2026-05-11 22:57:35Z] CHK MOM:0.01% RANGE:0.03% UP:11.11% SPREAD:0.00149304% BID:669.77 ASK:669.78 MID:669.775 P1:669.775 P2:669.775 P3:669.545 P4:669.545 STATE:IDLE
[2026-05-11 22:57:36Z] CHK MOM:0.01% RANGE:0.03% UP:11.11% SPREAD:0.00149304% BID:669.77 ASK:669.78 MID:669.775 P1:669.775 P2:669.775 P3:669.545 P4:669.545 STATE:IDLE
[2026-05-11 22:57:36Z] CHK MOM:0.01% RANGE:0.03% UP:10% SPREAD:0.00149304% BID:669.77 ASK:669.78 MID:669.775 P1:669.775 P2:669.775 P3:669.775 P4:669.545 STATE:IDLE
[2026-05-11 22:57:37Z] CHK MOM:0.01% RANGE:0.03% UP:10% SPREAD:0.00149304% BID:669.77 ASK:669.78 MID:669.775 P1:669.775 P2:669.775 P3:669.775 P4:669.545 STATE:IDLE
[2026-05-11 22:57:37Z] CHK MOM:0.01% RANGE:0.03% UP:10% SPREAD:0.00149304% BID:669.77 ASK:669.78 MID:669.775 P1:669.775 P2:669.775 P3:669.775 P4:669.545 STATE:IDLE
