[2026-05-01T07:18:16+02:00] SESSION_START symbol=TRBUSDC dry_run=1 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-01T07:18:16+02:00] TOXIC_MEMORY_LOADED count=17 symbols=0GUSDC,AAVEUSDC,CFGUSDC,DASHUSDC,ENJUSDC,FETUSDC,GIGGLEUSDC,GUNUSDC,HBARUSDC,KITEUSDC
[2026-05-01T07:18:18+02:00] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.10498687% BID:19.05 ASK:19.07 MID:19.06 P1:19.06 P2:NA P3:NA P4:NA STATE:IDLE
[2026-05-01T07:18:18+02:00] CHK MOM:-0.07% RANGE:0.07% UP:0% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.06 P3:NA P4:NA STATE:IDLE
[2026-05-01T07:18:19+02:00] CHK MOM:-0.07% RANGE:0.07% UP:0% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.06 P3:NA P4:NA STATE:IDLE
[2026-05-01T07:18:19+02:00] CHK MOM:-0.07% RANGE:0.07% UP:0% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.06 P3:NA P4:NA STATE:IDLE
[2026-05-01T07:18:20+02:00] CHK MOM:-0.1% RANGE:0.1% UP:0% SPREAD:0.10509721% BID:19.03 ASK:19.05 MID:19.04 P1:19.04 P2:19.045 P3:19.06 P4:NA STATE:IDLE
[2026-05-01T07:18:20+02:00] CHK MOM:-0.13% RANGE:0.13% UP:0% SPREAD:0.1577287% BID:19.02 ASK:19.05 MID:19.035 P1:19.035 P2:19.04 P3:19.045 P4:19.06 STATE:IDLE
[2026-05-01T07:18:21+02:00] CHK MOM:-0.1% RANGE:0.13% UP:25% SPREAD:0.10509721% BID:19.03 ASK:19.05 MID:19.04 P1:19.04 P2:19.035 P3:19.04 P4:19.045 STATE:IDLE
[2026-05-01T07:18:21+02:00] CHK MOM:-0.1% RANGE:0.13% UP:25% SPREAD:0.10509721% BID:19.03 ASK:19.05 MID:19.04 P1:19.04 P2:19.035 P3:19.04 P4:19.045 STATE:IDLE
[2026-05-01T07:18:22+02:00] CHK MOM:-0.13% RANGE:0.13% UP:20% SPREAD:0.1577287% BID:19.02 ASK:19.05 MID:19.035 P1:19.035 P2:19.04 P3:19.035 P4:19.04 STATE:IDLE
[2026-05-01T07:18:22+02:00] CHK MOM:-0.13% RANGE:0.13% UP:16.66% SPREAD:0.1577287% BID:19.02 ASK:19.05 MID:19.035 P1:19.035 P2:19.035 P3:19.04 P4:19.035 STATE:IDLE
[2026-05-01T07:18:23+02:00] CHK MOM:-0.13% RANGE:0.13% UP:16.66% SPREAD:0.1577287% BID:19.02 ASK:19.05 MID:19.035 P1:19.035 P2:19.035 P3:19.04 P4:19.035 STATE:IDLE
[2026-05-01T07:18:24+02:00] CHK MOM:-0.1% RANGE:0.13% UP:28.57% SPREAD:0.10509721% BID:19.03 ASK:19.05 MID:19.04 P1:19.04 P2:19.035 P3:19.035 P4:19.04 STATE:IDLE
[2026-05-01T07:18:24+02:00] CHK MOM:-0.13% RANGE:0.13% UP:25% SPREAD:0.1577287% BID:19.02 ASK:19.05 MID:19.035 P1:19.035 P2:19.04 P3:19.035 P4:19.035 STATE:IDLE
[2026-05-01T07:18:25+02:00] CHK MOM:-0.13% RANGE:0.13% UP:22.22% SPREAD:0.1577287% BID:19.02 ASK:19.05 MID:19.035 P1:19.035 P2:19.035 P3:19.04 P4:19.035 STATE:IDLE
[2026-05-01T07:18:25+02:00] CHK MOM:-0.1% RANGE:0.13% UP:30% SPREAD:0.10509721% BID:19.03 ASK:19.05 MID:19.04 P1:19.04 P2:19.035 P3:19.035 P4:19.04 STATE:IDLE
