[2026-05-04 16:43:43Z] SESSION_START symbol=CHIPUSDC dry_run=0 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-04 16:43:43Z] TOXIC_MEMORY_LOADED count=3 symbols=GUNUSDC,JTOUSDC,SAHARAUSDC
[2026-05-04 16:43:46Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.06648936% BID:0.06016 ASK:0.0602 MID:0.06018 P1:0.06018 P2:NA P3:NA P4:NA STATE:IDLE
[2026-05-04 16:43:46Z] CHK MOM:-0.01% RANGE:0.01% UP:0% SPREAD:0.06650041% BID:0.06015 ASK:0.06019 MID:0.06017 P1:0.06017 P2:0.06018 P3:NA P4:NA STATE:IDLE
[2026-05-04 16:43:47Z] CHK MOM:-0.02% RANGE:0.02% UP:0% SPREAD:0.04987531% BID:0.06015 ASK:0.06018 MID:0.06016499 P1:0.06016499 P2:0.06017 P3:0.06018 P4:NA STATE:IDLE
[2026-05-04 16:43:47Z] CHK MOM:-0.02% RANGE:0.02% UP:0% SPREAD:0.04987531% BID:0.06015 ASK:0.06018 MID:0.06016499 P1:0.06016499 P2:0.06016499 P3:0.06017 P4:0.06018 STATE:IDLE
[2026-05-04 16:43:48Z] CHK MOM:-0.02% RANGE:0.02% UP:0% SPREAD:0.04987531% BID:0.06015 ASK:0.06018 MID:0.06016499 P1:0.06016499 P2:0.06016499 P3:0.06017 P4:0.06018 STATE:IDLE
[2026-05-04 16:43:48Z] CHK MOM:0% RANGE:0.03% UP:25% SPREAD:0.04985873% BID:0.06017 ASK:0.0602 MID:0.060185 P1:0.060185 P2:0.06016499 P3:0.06016499 P4:0.06017 STATE:IDLE
[2026-05-04 16:43:49Z] CHK MOM:0.04% RANGE:0.07% UP:40% SPREAD:0.03322259% BID:0.0602 ASK:0.06022 MID:0.06021 P1:0.06021 P2:0.060185 P3:0.06016499 P4:0.06016499 STATE:IDLE
[2026-05-04 16:43:49Z] CHK MOM:0.05% RANGE:0.08% UP:50% SPREAD:0.04983388% BID:0.0602 ASK:0.06023 MID:0.060215 P1:0.060215 P2:0.06021 P3:0.060185 P4:0.06016499 STATE:IDLE
[2026-05-04 16:43:50Z] CHK MOM:0.05% RANGE:0.08% UP:50% SPREAD:0.04983388% BID:0.0602 ASK:0.06023 MID:0.060215 P1:0.060215 P2:0.06021 P3:0.060185 P4:0.06016499 STATE:IDLE
[2026-05-04 16:43:50Z] CHK MOM:0.06% RANGE:0.09% UP:57.14% SPREAD:0.03321707% BID:0.06021 ASK:0.06023 MID:0.06021999 P1:0.06021999 P2:0.060215 P3:0.06021 P4:0.060185 STATE:IDLE
[2026-05-04 16:43:51Z] CHK MOM:0.06% RANGE:0.09% UP:50% SPREAD:0.03321707% BID:0.06021 ASK:0.06023 MID:0.06021999 P1:0.06021999 P2:0.06021999 P3:0.060215 P4:0.06021 STATE:IDLE
[2026-05-04 16:43:52Z] CHK MOM:0.06% RANGE:0.09% UP:50% SPREAD:0.03321707% BID:0.06021 ASK:0.06023 MID:0.06021999 P1:0.06021999 P2:0.06021999 P3:0.060215 P4:0.06021 STATE:IDLE
[2026-05-04 16:43:52Z] CHK MOM:0.06% RANGE:0.09% UP:50% SPREAD:0.03321707% BID:0.06021 ASK:0.06023 MID:0.06021999 P1:0.06021999 P2:0.06021999 P3:0.060215 P4:0.06021 STATE:IDLE
[2026-05-04 16:43:53Z] CHK MOM:0.06% RANGE:0.09% UP:50% SPREAD:0.03321707% BID:0.06021 ASK:0.06023 MID:0.06021999 P1:0.06021999 P2:0.06021999 P3:0.060215 P4:0.06021 STATE:IDLE
[2026-05-04 16:43:53Z] CHK MOM:0.06% RANGE:0.09% UP:50% SPREAD:0.03321707% BID:0.06021 ASK:0.06023 MID:0.06021999 P1:0.06021999 P2:0.06021999 P3:0.060215 P4:0.06021 STATE:IDLE
[2026-05-04 16:43:57Z] CHK MOM:0.06% RANGE:0.06% UP:80% SPREAD:0.04982561% BID:0.06021 ASK:0.06024 MID:0.060225 P1:0.060225 P2:0.06021999 P3:0.06021999 P4:0.060215 STATE:IDLE
[2026-05-04 16:43:57Z] CHK MOM:0.06% RANGE:0.06% UP:80% SPREAD:0.03320053% BID:0.06024 ASK:0.06026 MID:0.06025 P1:0.06025 P2:0.060225 P3:0.06021999 P4:0.06021999 STATE:IDLE
[2026-05-04 16:43:58Z] CHK MOM:0.06% RANGE:0.06% UP:80% SPREAD:0.03320053% BID:0.06024 ASK:0.06026 MID:0.06025 P1:0.06025 P2:0.060225 P3:0.06021999 P4:0.06021999 STATE:IDLE
[2026-05-04 16:43:58Z] CHK MOM:0.05% RANGE:0.05% UP:100% SPREAD:0.01659751% BID:0.06025 ASK:0.06026 MID:0.060255 P1:0.060255 P2:0.06025 P3:0.060225 P4:0.06021999 STATE:IDLE
[2026-05-04 16:43:59Z] CHK MOM:0.05% RANGE:0.05% UP:100% SPREAD:0.01659751% BID:0.06025 ASK:0.06026 MID:0.060255 P1:0.060255 P2:0.06025 P3:0.060225 P4:0.06021999 STATE:IDLE
