[2026-05-11 15:18:23Z] SESSION_START symbol=OPUSDC dry_run=0 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-11 15:18:23Z] TOXIC_MEMORY_LOADED count=4 symbols=GUNUSDC,JTOUSDC,ORDIUSDC,SAHARAUSDC
[2026-05-11 15:18:24Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.12746972% BID:0.1569 ASK:0.1571 MID:0.157 P1:0.157 P2:NA P3:NA P4:NA STATE:IDLE
[2026-05-11 15:18:25Z] CHK MOM:0.03% RANGE:0.03% UP:100% SPREAD:0.06369426% BID:0.157 ASK:0.1571 MID:0.15705 P1:0.15705 P2:0.157 P3:NA P4:NA STATE:IDLE
[2026-05-11 15:18:25Z] CHK MOM:0.03% RANGE:0.03% UP:50% SPREAD:0.06369426% BID:0.157 ASK:0.1571 MID:0.15705 P1:0.15705 P2:0.15705 P3:0.157 P4:NA STATE:IDLE
[2026-05-11 15:18:26Z] CHK MOM:0.03% RANGE:0.03% UP:33.33% SPREAD:0.06369426% BID:0.157 ASK:0.1571 MID:0.15705 P1:0.15705 P2:0.15705 P3:0.15705 P4:0.157 STATE:IDLE
[2026-05-11 15:18:26Z] CHK MOM:0.03% RANGE:0.03% UP:25% SPREAD:0.06369426% BID:0.157 ASK:0.1571 MID:0.15705 P1:0.15705 P2:0.15705 P3:0.15705 P4:0.15705 STATE:IDLE
[2026-05-11 15:18:27Z] CHK MOM:0.03% RANGE:0.03% UP:20% SPREAD:0.06369426% BID:0.157 ASK:0.1571 MID:0.15705 P1:0.15705 P2:0.15705 P3:0.15705 P4:0.15705 STATE:IDLE
[2026-05-11 15:18:27Z] CHK MOM:0.03% RANGE:0.03% UP:16.66% SPREAD:0.06369426% BID:0.157 ASK:0.1571 MID:0.15705 P1:0.15705 P2:0.15705 P3:0.15705 P4:0.15705 STATE:IDLE
[2026-05-11 15:18:28Z] CHK MOM:0.03% RANGE:0.03% UP:14.28% SPREAD:0.06369426% BID:0.157 ASK:0.1571 MID:0.15705 P1:0.15705 P2:0.15705 P3:0.15705 P4:0.15705 STATE:IDLE
[2026-05-11 15:18:28Z] CHK MOM:0.03% RANGE:0.03% UP:14.28% SPREAD:0.06369426% BID:0.157 ASK:0.1571 MID:0.15705 P1:0.15705 P2:0.15705 P3:0.15705 P4:0.15705 STATE:IDLE
[2026-05-11 15:18:29Z] CHK MOM:0.03% RANGE:0.03% UP:14.28% SPREAD:0.06369426% BID:0.157 ASK:0.1571 MID:0.15705 P1:0.15705 P2:0.15705 P3:0.15705 P4:0.15705 STATE:IDLE
[2026-05-11 15:18:30Z] CHK MOM:0.03% RANGE:0.03% UP:12.5% SPREAD:0.06369426% BID:0.157 ASK:0.1571 MID:0.15705 P1:0.15705 P2:0.15705 P3:0.15705 P4:0.15705 STATE:IDLE
[2026-05-11 15:18:30Z] CHK MOM:-0.03% RANGE:0.06% UP:11.11% SPREAD:0.06373486% BID:0.1569 ASK:0.157 MID:0.15695 P1:0.15695 P2:0.15705 P3:0.15705 P4:0.15705 STATE:IDLE
