[2026-05-04 16:08:23Z] SESSION_START symbol=ORDIUSDC dry_run=0 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-04 16:08:23Z] TOXIC_MEMORY_LOADED count=3 symbols=GUNUSDC,JTOUSDC,SAHARAUSDC
[2026-05-04 16:08:25Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.09516558% BID:5.254 ASK:5.259 MID:5.2565 P1:5.2565 P2:NA P3:NA P4:NA STATE:IDLE
[2026-05-04 16:08:25Z] CHK MOM:-0.19% RANGE:0.19% UP:0% SPREAD:0.01906214% BID:5.246 ASK:5.247 MID:5.2465 P1:5.2465 P2:5.2565 P3:NA P4:NA STATE:IDLE
[2026-05-04 16:08:26Z] CHK MOM:-0.19% RANGE:0.19% UP:0% SPREAD:0.01906214% BID:5.246 ASK:5.247 MID:5.2465 P1:5.2465 P2:5.2465 P3:5.2565 P4:NA STATE:IDLE
[2026-05-04 16:08:26Z] CHK MOM:-0.19% RANGE:0.19% UP:0% SPREAD:0.01906214% BID:5.246 ASK:5.247 MID:5.2465 P1:5.2465 P2:5.2465 P3:5.2465 P4:5.2565 STATE:IDLE
[2026-05-04 16:08:27Z] CHK MOM:-0.23% RANGE:0.23% UP:0% SPREAD:0.07630675% BID:5.242 ASK:5.246 MID:5.244 P1:5.244 P2:5.2465 P3:5.2465 P4:5.2465 STATE:IDLE
[2026-05-04 16:08:27Z] CHK MOM:-0.24% RANGE:0.24% UP:0% SPREAD:0.05723006% BID:5.242 ASK:5.245 MID:5.2435 P1:5.2435 P2:5.244 P3:5.2465 P4:5.2465 STATE:IDLE
[2026-05-04 16:08:28Z] CHK MOM:-0.24% RANGE:0.24% UP:0% SPREAD:0.05723006% BID:5.242 ASK:5.245 MID:5.2435 P1:5.2435 P2:5.244 P3:5.2465 P4:5.2465 STATE:IDLE
[2026-05-04 16:08:28Z] CHK MOM:-0.21% RANGE:0.24% UP:16.66% SPREAD:0.11446012% BID:5.242 ASK:5.248 MID:5.245 P1:5.245 P2:5.2435 P3:5.244 P4:5.2465 STATE:IDLE
[2026-05-04 16:08:29Z] CHK MOM:-0.2% RANGE:0.24% UP:28.57% SPREAD:0.09536524% BID:5.243 ASK:5.248 MID:5.2455 P1:5.2455 P2:5.245 P3:5.2435 P4:5.244 STATE:IDLE
[2026-05-04 16:08:29Z] CHK MOM:-0.19% RANGE:0.24% UP:37.5% SPREAD:0.09534706% BID:5.244 ASK:5.249 MID:5.24649999 P1:5.24649999 P2:5.2455 P3:5.245 P4:5.2435 STATE:IDLE
[2026-05-04 16:08:30Z] CHK MOM:-0.17% RANGE:0.24% UP:44.44% SPREAD:0.13348588% BID:5.244 ASK:5.251 MID:5.2475 P1:5.2475 P2:5.24649999 P3:5.2455 P4:5.245 STATE:IDLE
[2026-05-04 16:08:31Z] CHK MOM:-0.19% RANGE:0.24% UP:40% SPREAD:0.09534706% BID:5.244 ASK:5.249 MID:5.24649999 P1:5.24649999 P2:5.2475 P3:5.24649999 P4:5.2455 STATE:IDLE
[2026-05-04 16:08:31Z] CHK MOM:-0.19% RANGE:0.24% UP:40% SPREAD:0.09534706% BID:5.244 ASK:5.249 MID:5.24649999 P1:5.24649999 P2:5.2475 P3:5.24649999 P4:5.2455 STATE:IDLE
[2026-05-04 16:08:32Z] CHK MOM:-0.19% RANGE:0.24% UP:40% SPREAD:0.09534706% BID:5.244 ASK:5.249 MID:5.24649999 P1:5.24649999 P2:5.2475 P3:5.24649999 P4:5.2455 STATE:IDLE
[2026-05-04 16:08:32Z] CHK MOM:-0.19% RANGE:0.24% UP:36.36% SPREAD:0.07627765% BID:5.244 ASK:5.248 MID:5.246 P1:5.246 P2:5.24649999 P3:5.2475 P4:5.24649999 STATE:IDLE
[2026-05-04 16:08:33Z] CHK MOM:0.03% RANGE:0.09% UP:45.45% SPREAD:0.09531071% BID:5.246 ASK:5.251 MID:5.2485 P1:5.2485 P2:5.246 P3:5.24649999 P4:5.2475 STATE:IDLE
[2026-05-04 16:08:33Z] CHK MOM:0.03% RANGE:0.09% UP:45.45% SPREAD:0.09531071% BID:5.246 ASK:5.251 MID:5.2485 P1:5.2485 P2:5.246 P3:5.24649999 P4:5.2475 STATE:IDLE
[2026-05-04 16:08:34Z] CHK MOM:0.03% RANGE:0.09% UP:45.45% SPREAD:0.09531071% BID:5.246 ASK:5.251 MID:5.2485 P1:5.2485 P2:5.246 P3:5.24649999 P4:5.2475 STATE:IDLE
[2026-05-04 16:08:34Z] CHK MOM:0.03% RANGE:0.09% UP:45.45% SPREAD:0.09531071% BID:5.246 ASK:5.251 MID:5.2485 P1:5.2485 P2:5.246 P3:5.24649999 P4:5.2475 STATE:IDLE
[2026-05-04 16:08:35Z] CHK MOM:0.06% RANGE:0.09% UP:55.55% SPREAD:0.13348588% BID:5.244 ASK:5.251 MID:5.2475 P1:5.2475 P2:5.2485 P3:5.246 P4:5.24649999 STATE:IDLE
[2026-05-04 16:08:36Z] CHK MOM:0.1% RANGE:0.1% UP:62.5% SPREAD:0.13340956% BID:5.247 ASK:5.254 MID:5.2505 P1:5.2505 P2:5.2475 P3:5.2485 P4:5.246 STATE:IDLE
[2026-05-04 16:08:36Z] CHK MOM:0.1% RANGE:0.1% UP:55.55% SPREAD:0.13340956% BID:5.247 ASK:5.254 MID:5.2505 P1:5.2505 P2:5.2505 P3:5.2475 P4:5.2485 STATE:IDLE
[2026-05-04 16:08:37Z] CHK MOM:0% RANGE:0.08% UP:37.5% SPREAD:0.09534706% BID:5.244 ASK:5.249 MID:5.24649999 P1:5.24649999 P2:5.2505 P3:5.2505 P4:5.2475 STATE:IDLE
