[2026-05-01T02:03:32+02:00] SESSION_START symbol=XRPUSDC dry_run=1 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-01T02:03:32+02:00] TOXIC_MEMORY_LOADED count=17 symbols=0GUSDC,AAVEUSDC,CFGUSDC,DASHUSDC,ENJUSDC,FETUSDC,GIGGLEUSDC,GUNUSDC,HBARUSDC,KITEUSDC
[2026-05-01T02:03:34+02:00] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.00730193% BID:1.3695 ASK:1.3696 MID:1.36954999 P1:1.36954999 P2:NA P3:NA P4:NA STATE:IDLE
[2026-05-01T02:03:34+02:00] CHK MOM:0.01% RANGE:0.01% UP:100% SPREAD:0.00730086% BID:1.3697 ASK:1.3698 MID:1.36974999 P1:1.36974999 P2:1.36954999 P3:NA P4:NA STATE:IDLE
[2026-05-01T02:03:35+02:00] CHK MOM:0.01% RANGE:0.01% UP:50% SPREAD:0.00730086% BID:1.3697 ASK:1.3698 MID:1.36974999 P1:1.36974999 P2:1.36974999 P3:1.36954999 P4:NA STATE:IDLE
[2026-05-01T02:03:35+02:00] CHK MOM:0.01% RANGE:0.01% UP:50% SPREAD:0.00730086% BID:1.3697 ASK:1.3698 MID:1.36974999 P1:1.36974999 P2:1.36974999 P3:1.36954999 P4:NA STATE:IDLE
[2026-05-01T02:03:36+02:00] CHK MOM:0.01% RANGE:0.01% UP:50% SPREAD:0.00730086% BID:1.3697 ASK:1.3698 MID:1.36974999 P1:1.36974999 P2:1.36974999 P3:1.36954999 P4:NA STATE:IDLE
[2026-05-01T02:03:36+02:00] CHK MOM:0.01% RANGE:0.01% UP:33.33% SPREAD:0.00730086% BID:1.3697 ASK:1.3698 MID:1.36974999 P1:1.36974999 P2:1.36974999 P3:1.36974999 P4:1.36954999 STATE:IDLE
[2026-05-01T02:03:37+02:00] CHK MOM:0.01% RANGE:0.01% UP:25% SPREAD:0.00730086% BID:1.3697 ASK:1.3698 MID:1.36974999 P1:1.36974999 P2:1.36974999 P3:1.36974999 P4:1.36974999 STATE:IDLE
[2026-05-01T02:03:37+02:00] CHK MOM:0.01% RANGE:0.01% UP:25% SPREAD:0.00730086% BID:1.3697 ASK:1.3698 MID:1.36974999 P1:1.36974999 P2:1.36974999 P3:1.36974999 P4:1.36974999 STATE:IDLE
[2026-05-01T02:03:38+02:00] CHK MOM:0.01% RANGE:0.01% UP:20% SPREAD:0.00730086% BID:1.3697 ASK:1.3698 MID:1.36974999 P1:1.36974999 P2:1.36974999 P3:1.36974999 P4:1.36974999 STATE:IDLE
[2026-05-01T02:03:38+02:00] CHK MOM:0.01% RANGE:0.01% UP:20% SPREAD:0.00730086% BID:1.3697 ASK:1.3698 MID:1.36974999 P1:1.36974999 P2:1.36974999 P3:1.36974999 P4:1.36974999 STATE:IDLE
[2026-05-01T02:03:39+02:00] CHK MOM:0.01% RANGE:0.01% UP:20% SPREAD:0.00730086% BID:1.3697 ASK:1.3698 MID:1.36974999 P1:1.36974999 P2:1.36974999 P3:1.36974999 P4:1.36974999 STATE:IDLE
[2026-05-01T02:03:40+02:00] CHK MOM:0.01% RANGE:0.01% UP:20% SPREAD:0.00730086% BID:1.3697 ASK:1.3698 MID:1.36974999 P1:1.36974999 P2:1.36974999 P3:1.36974999 P4:1.36974999 STATE:IDLE
[2026-05-01T02:03:40+02:00] CHK MOM:0.01% RANGE:0.01% UP:20% SPREAD:0.00730086% BID:1.3697 ASK:1.3698 MID:1.36974999 P1:1.36974999 P2:1.36974999 P3:1.36974999 P4:1.36974999 STATE:IDLE
[2026-05-01T02:03:42+02:00] CHK MOM:0.02% RANGE:0.02% UP:33.33% SPREAD:0.00730033% BID:1.3698 ASK:1.3699 MID:1.36985 P1:1.36985 P2:1.36974999 P3:1.36974999 P4:1.36974999 STATE:IDLE
[2026-05-01T02:03:42+02:00] CHK MOM:0.05% RANGE:0.05% UP:42.85% SPREAD:0.0072982% BID:1.3702 ASK:1.3703 MID:1.37025 P1:1.37025 P2:1.36985 P3:1.36974999 P4:1.36974999 STATE:IDLE
