[2026-05-16 01:56:27Z] SESSION_START symbol=FETUSDC dry_run=0 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-16 01:56:27Z] TOXIC_MEMORY_LOADED count=1 symbols=ORDIUSDC
[2026-05-16 01:56:28Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04897159% BID:0.2042 ASK:0.2043 MID:0.20425 P1:0.20425 P2:NA P3:NA P4:NA STATE:IDLE
[2026-05-16 01:56:29Z] CHK MOM:0.04% RANGE:0.04% UP:100% SPREAD:0.04894762% BID:0.2043 ASK:0.2044 MID:0.20435 P1:0.20435 P2:0.20425 P3:NA P4:NA STATE:IDLE
[2026-05-16 01:56:29Z] CHK MOM:0.04% RANGE:0.04% UP:100% SPREAD:0.04894762% BID:0.2043 ASK:0.2044 MID:0.20435 P1:0.20435 P2:0.20425 P3:NA P4:NA STATE:IDLE
[2026-05-16 01:56:30Z] CHK MOM:0.04% RANGE:0.04% UP:50% SPREAD:0.04894762% BID:0.2043 ASK:0.2044 MID:0.20435 P1:0.20435 P2:0.20435 P3:0.20425 P4:NA STATE:IDLE
[2026-05-16 01:56:31Z] CHK MOM:0.09% RANGE:0.09% UP:66.66% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20435 P3:0.20435 P4:0.20425 STATE:IDLE
[2026-05-16 01:56:31Z] CHK MOM:0.09% RANGE:0.09% UP:50% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20435 P4:0.20435 STATE:IDLE
[2026-05-16 01:56:32Z] CHK MOM:0.09% RANGE:0.09% UP:40% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20435 STATE:IDLE
[2026-05-16 01:56:32Z] CHK MOM:0.09% RANGE:0.09% UP:40% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20435 STATE:IDLE
[2026-05-16 01:56:33Z] CHK MOM:0.09% RANGE:0.09% UP:40% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20435 STATE:IDLE
[2026-05-16 01:56:33Z] CHK MOM:0.09% RANGE:0.09% UP:40% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20435 STATE:IDLE
[2026-05-16 01:56:34Z] CHK MOM:0.09% RANGE:0.09% UP:40% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20435 STATE:IDLE
[2026-05-16 01:56:35Z] CHK MOM:0.09% RANGE:0.09% UP:33.33% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:56:35Z] CHK MOM:0.09% RANGE:0.09% UP:33.33% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:56:36Z] CHK MOM:0.09% RANGE:0.09% UP:33.33% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:56:36Z] CHK MOM:0.09% RANGE:0.09% UP:33.33% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:56:37Z] CHK MOM:0.09% RANGE:0.09% UP:33.33% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:56:37Z] CHK MOM:0.09% RANGE:0.09% UP:33.33% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:56:49Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:56:49Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:56:50Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:56:50Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:56:51Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:56:53Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:56:53Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:56:54Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:56:55Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:56:55Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:57:01Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:57:01Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:57:02Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:57:02Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:57:03Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:57:03Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:57:07Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:57:08Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:57:08Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
[2026-05-16 01:57:09Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.04892367% BID:0.2044 ASK:0.2045 MID:0.20445 P1:0.20445 P2:0.20445 P3:0.20445 P4:0.20445 STATE:IDLE
