ts_utc,symbol,event,side,qty,price,reason,pnl,profile,dry_run,spread_pct,mom_pct,mom_range_pct,up_ratio,rsi,ema1_ok,ema5_ok,vol_ok,bid,ask,mid,entry_price,p1,p2,p3,p4,entry_vs_mid_pct,mid_vs_entry_pct
1780444821,NEARUSDC,DECIDE_HOLD,,,,HOLD_BURST_EMA,,,major,0,0.037979491074815415,0.2856054836252795,0.2856054836252795,26.31578947368421,63.9882319805319,1,0,1,2.633,2.634,2.6334999999999997,,2.6334999999999997,2.6265,2.6265,2.6265,,
1780444986,NEARUSDC,DECIDE_HOLD,,,,HOLD_BURST_EMA,,,major,0,0.03783579265986886,0.22748815165875955,0.2845220030348953,33.33333333333333,64.84244514682706,1,0,1,2.643,2.644,2.6435,,2.6435,2.643,2.6384999999999996,2.6384999999999996,,
1780445024,NEARUSDC,DECIDE_HOLD,,,,HOLD_BURST_EMA,,,major,0,0.037821482602113835,0.11357183418512641,0.22740193291643845,33.33333333333333,64.04588355799783,1,0,1,2.644,2.645,2.6445,,2.6445,2.6399999999999997,2.6399999999999997,2.6399999999999997,,
1780445081,NEARUSDC,DECIDE_HOLD,,,,HOLD_BURST_EMA,,,major,0,0.03776435045316804,0.15125732652677057,0.15125732652677057,44.44444444444444,62.04822074064995,1,0,1,2.648,2.649,2.6485000000000003,,2.6485000000000003,2.6455,2.6445,2.645,,
1780445211,NEARUSDC,DECIDE_HOLD,,,,HOLD_BURST_EMA,,,major,0,0.03776435045316804,0.13232514177694824,0.1891431813883237,36.84210526315789,59.18406046407683,1,0,1,2.648,2.649,2.6485000000000003,,2.6485000000000003,2.6470000000000002,2.645,2.6435,,
1780445246,NEARUSDC,DECIDE_HOLD,,,,HOLD_BURST_EMA,,,major,0,0.07541478129712592,0.30245746691871483,0.43535869770964564,20.0,61.88291740316553,1,0,1,2.652,2.654,2.653,,2.653,2.645,2.645,2.6445,,
1780445358,NEARUSDC,DECIDE_HOLD,,,,HOLD_BURST_EMA,,,major,0,0.03762227238524793,0.07528703180876264,0.18843037497644216,11.76470588235294,65.08384541217814,1,0,1,2.658,2.659,2.6585,,2.6585,2.6535,2.6535,2.6535,,
2026-06-03 00:09:44Z,NEARUSDC,BUY_FILLED,BUY,3.7,2.6750000000000003,BURST ret=0.5641% vel=0.3804%/s eff=1.000 pressure=999.00 drop=0.0000%,,,major,0,0.03739715781600187,0.6018431446304312,0.6018431446304312,31.25,69.84293914424069,1,,1,2.674,2.675,2.6745,2.6750000000000003,2.6745,2.6595,2.6595,2.66,0.01869508319312645,
2026-06-03 00:13:45Z,NEARUSDC,SELL_FILLED,SELL,3.7,2.681,TIME,0.002383,0.002383,major,0,0.03729951510629951,-0.018642803877709432,0.05593884020138194,7.142857142857142,69.21001725270321,1,1,1,2.681,2.682,2.6814999999999998,2.6750000000000003,2.6814999999999998,2.682,2.682,2.682,,0.24299065420558902
2026-06-03 00:29:27Z,NEARUSDC,BUY_FILLED,BUY,3.5,2.712,BURST ret=0.1478% vel=0.0626%/s eff=1.000 pressure=999.00 drop=0.0000%,,,major,0,0.03688675765401453,0.16623568526044222,0.16623568526044222,44.44444444444444,61.995958130674,1,,1,2.711,2.712,2.7115,2.712,2.7115,2.7095000000000002,2.7075,2.707,0.018439977872032713,
2026-06-03 00:31:09Z,NEARUSDC,SELL_FILLED,SELL,3.5,2.695,PSELL FAIL age=101.0s latest=2.69500000 guard=2.70711840 high=2.71200000 peak=0.0000% P1=2.6955 P2=2.6955 P3=2.6950000000000003 P4=2.6955 entry=2.712,-0.078425,-0.078425,major,0,0.03710575139147807,-0.07414272474512622,0.14850566177833893,33.33333333333333,57.233430923867644,1,1,1,2.695,2.696,2.6955,2.712,2.6955,2.6955,2.6950000000000003,2.6955,,-0.6084070796460244
