[2026-06-03 00:00:07Z] SESSION_START symbol=NEARUSDC dry_run=0 profile=major strategy=momentum base_url=https://api.binance.com
[2026-06-03 00:00:07Z] TOXIC_MEMORY_LOADED count=1 symbols=ORDIUSDC
[2026-06-03 00:00:10Z] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.07619047% BID:2.625 ASK:2.627 MID:2.626 P1:2.626 P2:NA P3:NA P4:NA STATE:IDLE
[2026-06-03 00:00:10Z] CHK MOM:0.03% RANGE:0.03% UP:100% SPREAD:0.07616146% BID:2.626 ASK:2.628 MID:2.627 P1:2.627 P2:2.626 P3:NA P4:NA STATE:IDLE
[2026-06-03 00:00:11Z] CHK MOM:0.03% RANGE:0.03% UP:50% SPREAD:0.07616146% BID:2.626 ASK:2.628 MID:2.627 P1:2.627 P2:2.627 P3:2.626 P4:NA STATE:IDLE
[2026-06-03 00:00:11Z] CHK MOM:0.05% RANGE:0.05% UP:66.66% SPREAD:0.03806623% BID:2.627 ASK:2.628 MID:2.6275 P1:2.6275 P2:2.627 P3:2.627 P4:2.626 STATE:IDLE
[2026-06-03 00:00:12Z] CHK MOM:0.03% RANGE:0.05% UP:50% SPREAD:0.07616146% BID:2.626 ASK:2.628 MID:2.627 P1:2.627 P2:2.6275 P3:2.627 P4:2.627 STATE:IDLE
[2026-06-03 00:00:12Z] CHK MOM:0.01% RANGE:0.05% UP:40% SPREAD:0.03808073% BID:2.626 ASK:2.627 MID:2.6265 P1:2.6265 P2:2.627 P3:2.6275 P4:2.627 STATE:IDLE
[2026-06-03 00:00:13Z] CHK MOM:0.01% RANGE:0.05% UP:33.33% SPREAD:0.03808073% BID:2.626 ASK:2.627 MID:2.6265 P1:2.6265 P2:2.6265 P3:2.627 P4:2.6275 STATE:IDLE
[2026-06-03 00:00:13Z] CHK MOM:0.01% RANGE:0.05% UP:28.57% SPREAD:0.03808073% BID:2.626 ASK:2.627 MID:2.6265 P1:2.6265 P2:2.6265 P3:2.6265 P4:2.627 STATE:IDLE
[2026-06-03 00:00:14Z] CHK MOM:0.01% RANGE:0.05% UP:25% SPREAD:0.03808073% BID:2.626 ASK:2.627 MID:2.6265 P1:2.6265 P2:2.6265 P3:2.6265 P4:2.6265 STATE:IDLE
[2026-06-03 00:00:15Z] CHK MOM:0.01% RANGE:0.05% UP:22.22% SPREAD:0.03808073% BID:2.626 ASK:2.627 MID:2.6265 P1:2.6265 P2:2.6265 P3:2.6265 P4:2.6265 STATE:IDLE
[2026-06-03 00:00:15Z] CHK MOM:0.01% RANGE:0.05% UP:22.22% SPREAD:0.03808073% BID:2.626 ASK:2.627 MID:2.6265 P1:2.6265 P2:2.6265 P3:2.6265 P4:2.6265 STATE:IDLE
[2026-06-03 00:00:16Z] CHK MOM:0.07% RANGE:0.07% UP:30% SPREAD:0.07613247% BID:2.627 ASK:2.629 MID:2.628 P1:2.628 P2:2.6265 P3:2.6265 P4:2.6265 STATE:IDLE
[2026-06-03 00:00:16Z] CHK MOM:0.09% RANGE:0.09% UP:36.36% SPREAD:0.03805175% BID:2.628 ASK:2.629 MID:2.6285 P1:2.6285 P2:2.628 P3:2.6265 P4:2.6265 STATE:IDLE
[2026-06-03 00:00:17Z] CHK MOM:0.07% RANGE:0.09% UP:33.33% SPREAD:0.07613247% BID:2.627 ASK:2.629 MID:2.628 P1:2.628 P2:2.6285 P3:2.628 P4:2.6265 STATE:IDLE
[2026-06-03 00:00:17Z] CHK MOM:0.07% RANGE:0.09% UP:30.76% SPREAD:0.07613247% BID:2.627 ASK:2.629 MID:2.628 P1:2.628 P2:2.628 P3:2.6285 P4:2.628 STATE:IDLE
[2026-06-03 00:00:18Z] CHK MOM:0.03% RANGE:0.09% UP:28.57% SPREAD:0.07616146% BID:2.626 ASK:2.628 MID:2.627 P1:2.627 P2:2.628 P3:2.628 P4:2.6285 STATE:IDLE
[2026-06-03 00:00:18Z] CHK MOM:0.01% RANGE:0.09% UP:26.66% SPREAD:0.03808073% BID:2.626 ASK:2.627 MID:2.6265 P1:2.6265 P2:2.627 P3:2.628 P4:2.628 STATE:IDLE
[2026-06-03 00:00:19Z] CHK MOM:0.01% RANGE:0.09% UP:25% SPREAD:0.03808073% BID:2.626 ASK:2.627 MID:2.6265 P1:2.6265 P2:2.6265 P3:2.627 P4:2.628 STATE:IDLE
[2026-06-03 00:00:19Z] CHK MOM:0.01% RANGE:0.09% UP:23.52% SPREAD:0.03808073% BID:2.626 ASK:2.627 MID:2.6265 P1:2.6265 P2:2.6265 P3:2.6265 P4:2.627 STATE:IDLE
[2026-06-03 00:00:20Z] CHK MOM:0.01% RANGE:0.09% UP:22.22% SPREAD:0.03808073% BID:2.626 ASK:2.627 MID:2.6265 P1:2.6265 P2:2.6265 P3:2.6265 P4:2.6265 STATE:IDLE
[2026-06-03 00:00:21Z] CHK MOM:0.28% RANGE:0.28% UP:26.31% SPREAD:0.03797949% BID:2.633 ASK:2.634 MID:2.63349999 P1:2.63349999 P2:2.6265 P3:2.6265 P4:2.6265 STATE:IDLE
[2026-06-03 00:00:22Z] DECIDE_HOLD reason=HOLD_BURST_EMA spread=0.0380% mom=0.2856% range=0.2856% up=26.32% mid=2.63350000 P1=2.6334999999999997 P2=2.6265 P3=2.6265 P4=2.6265 ema5=0
[2026-06-03 00:00:22Z] CHK MOM:0.24% RANGE:0.26% UP:22.22% SPREAD:0.03797949% BID:2.633 ASK:2.634 MID:2.63349999 P1:2.63349999 P2:2.63349999 P3:2.6265 P4:2.6265 STATE:IDLE
[2026-06-03 00:00:23Z] CHK MOM:0.28% RANGE:0.3% UP:26.31% SPREAD:0.03796507% BID:2.634 ASK:2.635 MID:2.6345 P1:2.6345 P2:2.63349999 P3:2.63349999 P4:2.6265 STATE:IDLE
[2026-06-03 00:00:23Z] CHK MOM:0.26% RANGE:0.3% UP:21.05% SPREAD:0.03796507% BID:2.634 ASK:2.635 MID:2.6345 P1:2.6345 P2:2.6345 P3:2.63349999 P4:2.63349999 STATE:IDLE
[2026-06-03 00:00:24Z] CHK MOM:0.3% RANGE:0.3% UP:22.22% SPREAD:0.03796507% BID:2.634 ASK:2.635 MID:2.6345 P1:2.6345 P2:2.6345 P3:2.6345 P4:2.63349999 STATE:IDLE
[2026-06-03 00:00:24Z] CHK MOM:0.34% RANGE:0.34% UP:27.77% SPREAD:0.03795066% BID:2.635 ASK:2.636 MID:2.6355 P1:2.6355 P2:2.6345 P3:2.6345 P4:2.6345 STATE:IDLE
[2026-06-03 00:00:25Z] CHK MOM:0.38% RANGE:0.38% UP:33.33% SPREAD:0.03793626% BID:2.636 ASK:2.637 MID:2.6365 P1:2.6365 P2:2.6355 P3:2.6345 P4:2.6345 STATE:IDLE
[2026-06-03 00:00:26Z] CHK MOM:0.38% RANGE:0.38% UP:31.57% SPREAD:0.03793626% BID:2.636 ASK:2.637 MID:2.6365 P1:2.6365 P2:2.6365 P3:2.6355 P4:2.6345 STATE:IDLE
[2026-06-03 00:00:26Z] CHK MOM:0.38% RANGE:0.38% UP:33.33% SPREAD:0.03793626% BID:2.636 ASK:2.637 MID:2.6365 P1:2.6365 P2:2.6365 P3:2.6365 P4:2.6355 STATE:IDLE
[2026-06-03 00:00:27Z] CHK MOM:0.32% RANGE:0.38% UP:27.77% SPREAD:0.03793626% BID:2.636 ASK:2.637 MID:2.6365 P1:2.6365 P2:2.6365 P3:2.6365 P4:2.6365 STATE:IDLE
